account,duration,credit_history,amount,savings,employment,guarantors,residence,age,credits_number,job,maintenance_people,telephone,foreign,real_estate,life_insurance,car,housing_rent,sex,purpose,target
-1,0.48,2,0.38815,1,4,1,4,0.42,1,3,1,0,1,0,0,0,0,1,car_new,0
2,0.06,2,0.03545,4,1,1,2,0.27,1,0,1,0,0,1,0,0,0,1,car_new,1
1,0.12,2,0.3234,0,0,1,1,0.52,1,3,1,1,1,0,0,0,0,1,television,0
-1,0.06,2,0.01715,1,1,1,1,0.27,1,2,1,0,1,1,0,0,0,0,domestic_appliances,1
-1,0.3,2,0.1203,1,3,1,4,0.23,1,2,1,0,1,1,0,0,1,0,furniture,0
1,0.3,3,0.09595,2,1,1,3,0.3,2,3,1,0,1,0,0,0,0,1,television,0
-1,0.1,4,0.1066,0,1,0,3,0.27,2,2,1,0,0,1,0,0,1,0,furniture,1
1,0.48,2,0.42435,0,3,1,2,0.24,1,2,1,0,1,0,0,1,0,0,car_new,1
0,0.21,4,0.16375,1,4,1,4,0.36,1,3,1,1,1,0,0,1,0,1,car_used,1
-1,0.24,2,0.15615,1,1,1,1,0.27,1,2,1,0,1,0,1,0,0,0,car_new,0
0,0.24,4,0.25515,1,1,1,3,0.47,3,2,1,1,1,0,0,0,0,1,television,1
-1,0.18,2,0.1231,1,2,1,2,0.22,1,2,1,0,1,0,0,1,0,1,furniture,0
1,0.15,4,0.07685,0,4,0,4,0.5,2,2,1,1,1,1,0,0,0,1,television,1
-1,0.2,4,0.11175,1,2,0,2,0.33,2,2,1,0,0,0,1,0,1,1,car_new,0
-1,0.12,0,0.0554,1,3,1,3,0.28,2,2,1,0,1,1,0,0,0,1,repairs,0
0,0.18,2,0.07365,1,1,1,4,0.39,1,2,1,1,1,1,0,0,0,1,television,1
1,0.24,2,0.20285,1,3,1,3,0.43,1,2,1,1,1,0,0,1,0,1,furniture,0
0,0.12,2,0.0538,1,2,1,2,0.26,1,2,1,1,0,1,0,0,0,1,business,1
1,0.18,4,0.08975,1,4,0,4,0.48,2,1,1,1,1,1,0,0,1,0,television,1
-1,0.18,2,0.20765,1,2,0,3,0.42,1,2,1,0,1,0,0,1,0,1,furniture,0
1,0.24,3,0.2356,0,2,1,2,0.37,2,3,1,1,1,0,1,0,0,1,business,1
1,0.12,2,0.0418,2,1,1,2,0.23,1,1,1,0,1,0,1,0,0,0,car_new,0
1,0.11,2,0.07885,4,1,1,1,0.2,1,2,1,0,1,1,0,0,0,0,furniture,1
-1,0.15,3,0.18215,1,4,1,4,0.27,2,1,1,0,1,0,1,0,0,0,furniture,1
1,0.3,2,0.17205,2,2,0,4,0.21,1,2,1,0,1,0,0,1,1,0,furniture,0
-1,0.06,2,0.0687,0,0,1,3,0.75,1,3,1,1,1,0,1,0,0,0,car_new,1
0,0.12,4,0.05925,1,2,1,2,0.27,2,2,1,0,1,1,0,0,0,0,business,1
0,0.24,4,0.09635,0,2,1,2,0.33,2,2,1,1,1,0,0,1,0,0,education,1
-1,0.09,2,0.0327,1,2,1,3,0.28,1,1,1,0,1,0,0,1,0,1,car_new,0
2,0.12,1,0.03045,1,1,1,1,0.26,1,0,1,0,1,1,0,0,0,0,business,0
-1,0.42,2,0.3941,1,3,0,4,0.45,1,2,2,0,1,0,1,0,0,1,furniture,1
1,0.09,4,0.09595,1,3,1,3,0.35,1,2,1,1,1,0,0,1,1,1,furniture,1
0,0.24,4,0.2575,1,4,1,4,0.33,1,2,1,1,1,0,0,1,0,1,furniture,1
-1,0.18,2,0.06085,1,2,1,3,0.47,1,1,1,1,1,1,0,0,0,1,domestic_appliances,0
-1,0.3,4,0.30935,2,3,1,4,0.24,2,2,1,0,1,0,0,1,1,1,car_used,1
-1,0.18,2,0.0608,1,1,1,3,0.23,1,2,1,1,1,0,0,1,1,0,car_new,0
-1,0.18,4,0.1062,1,2,1,4,0.24,2,2,1,0,1,1,0,0,1,0,furniture,0
1,0.18,4,0.0964,1,1,1,2,0.31,2,1,1,0,1,1,0,0,0,1,furniture,0
-1,0.15,2,0.0403,1,2,1,4,0.22,1,1,1,0,1,0,1,0,0,0,business,1
-1,0.12,2,0.03505,1,2,1,2,0.4,1,1,1,0,1,1,0,0,0,1,television,1
1,0.06,2,0.0534,1,4,1,4,0.28,1,2,2,0,1,0,0,1,0,1,television,1
1,0.3,0,0.214,2,2,1,4,0.26,2,1,1,0,1,0,0,1,1,0,business,0
1,0.24,4,0.09675,1,4,1,4,0.31,2,2,1,1,1,1,0,0,0,1,business,0
-1,0.24,2,0.15745,1,1,1,1,0.22,1,2,1,0,1,0,0,0,0,1,furniture,1
-1,0.18,2,0.13295,4,2,1,2,0.28,1,2,1,0,1,0,0,1,0,1,furniture,1
1,0.45,2,0.15155,2,2,0,4,0.21,1,2,1,0,1,0,1,0,1,1,television,0
0,0.18,4,0.0932,2,2,1,2,0.3,2,2,1,0,1,1,0,0,0,0,education,0
0,0.09,2,0.07245,1,3,1,2,0.27,2,2,1,0,1,0,0,1,0,0,business,1
-1,0.24,3,0.2435,1,2,1,4,0.53,2,2,2,0,1,0,0,0,0,1,car_new,0
1,0.12,2,0.0742,0,2,1,1,0.25,1,2,1,1,1,1,0,0,0,1,television,0
0,0.1,4,0.10345,0,2,1,1,0.26,2,2,1,0,0,0,0,1,0,1,furniture,1
1,0.12,2,0.0659,4,4,1,4,0.54,1,2,1,1,1,1,0,0,0,1,car_new,1
0,0.21,4,0.634,0,4,1,4,0.3,1,3,1,1,1,0,0,0,0,1,car_new,0
1,0.09,2,0.0459,1,2,1,1,0.3,1,2,1,0,1,0,1,0,0,0,furniture,0
2,0.36,2,0.2105,1,2,1,2,0.26,1,2,1,0,1,0,0,1,0,1,television,0
1,0.13,2,0.10505,1,1,0,4,0.23,1,1,1,0,1,0,1,0,0,0,television,1
-1,0.45,0,0.5908,1,4,1,4,0.29,2,2,1,0,1,0,0,1,1,1,business,0
-1,0.12,4,0.03455,1,4,1,3,0.35,2,2,1,0,1,0,1,0,0,1,car_new,0
-1,0.09,2,0.0682,1,3,1,4,0.59,1,2,1,0,1,1,0,0,0,1,television,1
-1,0.24,3,0.06665,1,0,1,2,0.43,2,2,2,0,1,1,0,0,0,1,car_new,0
1,0.15,0,0.0889,1,1,1,1,0.26,2,0,1,0,1,1,0,0,1,0,car_new,0
0,0.06,1,0.03915,0,2,0,2,0.26,1,1,2,0,1,1,0,0,0,1,car_new,1
-1,0.14,2,0.4489,1,4,1,4,0.45,1,3,1,1,0,0,1,0,0,1,car_new,0
0,0.6,4,0.6878,0,4,1,4,0.63,1,3,1,1,1,0,0,0,0,1,car_new,1
0,0.09,2,0.0618,1,1,1,4,0.23,1,2,1,1,1,1,0,0,1,0,domestic_appliances,1
0,0.18,4,0.0791,4,4,1,4,0.46,2,2,1,0,1,0,0,1,0,1,television,1
1,0.6,3,0.3709,0,2,1,1,0.27,1,1,1,0,1,1,0,0,0,1,television,1
1,0.45,4,0.2373,1,1,1,2,0.25,2,1,1,0,1,0,1,0,0,1,television,0
1,0.42,1,0.46415,1,0,1,2,0.55,1,3,1,1,1,0,0,0,0,1,car_used,1
0,0.6,2,0.32635,0,2,1,4,0.34,1,2,2,1,1,0,0,0,0,1,car_new,1
1,0.24,3,0.11665,0,1,1,2,0.29,1,1,1,0,1,0,1,0,0,1,furniture,1
1,0.09,2,0.07745,0,1,1,2,0.35,1,0,1,0,1,1,0,0,0,1,car_new,1
-1,0.12,2,0.1693,1,4,1,4,0.35,1,2,1,1,1,0,0,0,0,1,car_used,0
2,0.1,2,0.06375,1,1,1,2,0.23,1,2,1,0,1,0,1,0,0,0,furniture,1
2,0.1,2,0.062,2,4,1,4,0.48,1,1,2,0,1,0,0,0,0,0,car_new,0
1,0.72,2,0.27975,2,2,1,2,0.24,1,2,1,0,1,0,0,1,0,1,television,0
0,0.09,2,0.06565,1,4,1,4,0.2,1,2,1,0,1,0,0,1,0,1,furniture,1
1,0.15,4,0.1364,0,3,0,2,0.35,3,2,1,1,1,1,0,0,0,1,television,1
-1,0.36,2,0.79285,1,0,0,3,0.43,1,3,1,0,1,0,0,1,0,1,others,1
1,0.15,2,0.0401,1,4,1,3,0.37,1,2,2,0,1,0,0,1,0,1,television,0
0,0.24,2,0.0737,2,1,1,3,0.33,1,2,1,1,1,1,0,0,0,1,car_new,1
1,0.18,2,0.1936,1,0,1,4,0.67,1,2,1,1,1,0,0,1,0,0,repairs,1
1,0.36,2,0.11365,1,3,1,1,0.32,2,2,2,0,1,0,0,1,0,1,education,1
1,0.06,2,0.72775,0,0,1,2,0.23,1,0,1,1,1,0,1,0,0,1,car_new,0
1,0.12,4,0.09975,2,1,1,1,0.27,1,2,1,0,1,0,0,1,0,1,car_new,1
2,0.3,3,0.0954,1,4,1,4,0.66,1,3,1,1,1,1,0,0,0,1,business,0
-1,0.48,4,0.30715,1,4,1,4,0.58,2,1,1,0,1,0,0,0,0,0,car_used,0
0,0.24,2,0.18105,2,4,1,4,0.31,2,2,1,0,1,0,0,1,0,1,television,0
0,0.12,4,0.0629,1,1,1,4,0.22,2,1,1,0,1,0,1,0,1,0,furniture,1
0,0.24,4,0.1289,4,4,1,2,0.34,1,2,1,0,1,0,0,1,0,1,television,1
0,0.12,2,0.032,1,2,1,2,0.49,1,1,1,0,1,1,0,0,0,1,car_new,1
1,0.12,2,0.05035,4,2,1,1,0.22,1,2,1,0,1,1,0,0,0,1,car_new,1
-1,0.15,2,0.07015,1,2,1,4,0.28,1,2,1,0,1,0,0,1,1,0,car_new,1
0,0.21,2,0.1391,3,3,1,2,0.31,1,3,1,0,1,0,0,1,0,0,car_new,1
-1,0.12,2,0.39325,1,4,1,4,0.53,1,3,1,1,1,0,0,0,0,1,furniture,0
1,0.2,0,0.3074,2,4,1,4,0.31,2,2,1,1,1,0,0,1,0,1,car_used,1
1,0.27,4,0.126,3,2,1,2,0.23,2,1,1,0,1,0,1,0,0,1,television,0
-1,0.12,1,0.10745,1,2,1,1,0.29,1,2,1,0,1,0,0,0,0,1,television,0
-1,0.48,2,0.34995,1,3,0,1,0.34,2,2,1,1,1,1,0,0,0,1,television,0
0,0.12,4,0.09675,1,4,1,4,0.43,3,2,1,1,1,1,0,0,0,1,furniture,1
0,0.24,4,0.06435,4,4,1,4,0.37,2,2,1,1,1,1,0,0,0,0,car_new,1
1,0.18,2,0.0521,0,2,1,2,0.33,1,2,1,0,1,0,1,0,0,0,car_new,0
2,0.18,2,0.105,1,2,0,2,0.37,1,2,1,0,1,1,0,0,0,1,television,0
0,0.12,4,0.0488,0,4,1,4,0.35,2,2,1,0,1,0,0,1,0,1,television,1
0,0.18,2,0.33805,0,2,1,4,0.68,2,2,1,0,1,0,0,1,1,1,car_new,0
1,0.12,2,0.03195,1,2,1,2,0.3,1,2,1,0,1,0,0,1,0,1,repairs,0
0,0.12,4,0.0341,2,3,1,3,0.51,2,2,1,1,1,0,0,1,0,0,car_new,1
-1,0.21,2,0.09175,1,2,1,2,0.25,2,2,1,1,1,1,0,0,0,0,television,0
-1,0.24,1,0.15805,1,2,1,2,0.31,1,2,1,1,1,0,1,0,1,1,business,0
-1,0.24,2,0.16725,1,4,1,2,0.39,1,3,1,1,1,0,1,0,1,1,furniture,0
1,0.12,2,0.0444,1,4,1,4,0.41,1,1,2,0,1,0,0,1,0,1,car_new,0
1,0.06,3,0.06045,1,0,1,4,0.47,1,3,1,1,1,0,1,0,0,1,car_new,0
0,0.33,4,0.36265,1,3,1,2,0.35,2,3,1,1,1,0,0,1,0,1,car_used,1
0,0.27,2,0.2595,0,4,1,4,0.48,4,2,2,1,1,0,1,0,0,1,repairs,1
-1,0.48,2,0.3379,1,2,1,2,0.31,1,2,1,1,1,0,0,1,0,0,television,0
2,0.24,4,0.06375,4,2,1,4,0.36,2,2,1,1,1,1,0,0,0,1,business,1
1,0.48,4,0.2548,1,2,1,3,0.3,1,3,1,1,1,0,0,1,0,0,furniture,0
0,0.1,2,0.14505,0,1,1,4,0.31,1,2,1,0,1,1,0,0,1,0,car_used,1
1,0.24,2,0.0623,1,1,1,2,0.23,1,1,1,0,1,1,0,0,0,1,car_new,0
-1,0.24,3,0.08295,1,1,1,2,0.29,1,1,1,1,1,0,0,1,1,0,television,0
-1,0.06,1,0.0599,1,4,1,4,0.35,1,2,1,0,1,0,0,0,0,0,education,0
1,0.06,2,0.0242,1,3,0,3,0.28,1,1,1,0,1,1,0,0,0,1,television,1
0,0.18,2,0.07665,1,1,0,1,0.43,1,1,2,0,1,0,1,0,0,1,furniture,0
2,0.04,2,0.0747,0,1,1,2,0.29,1,1,2,0,0,1,0,0,0,1,car_new,1
0,0.12,3,0.07775,4,4,1,4,0.55,2,2,2,0,1,0,0,0,0,1,repairs,0
2,0.24,4,0.0672,0,3,1,2,0.37,2,1,2,0,1,1,0,0,0,1,car_new,0
-1,0.24,0,0.2055,1,4,1,4,0.23,2,2,2,0,1,0,0,0,1,1,furniture,0
0,0.21,2,0.158,0,4,1,3,0.41,1,2,1,1,1,0,1,0,0,1,television,1
0,0.24,2,0.11275,0,1,1,1,0.54,1,2,1,0,1,0,1,0,0,1,car_new,1
1,0.12,2,0.0767,1,1,1,1,0.23,1,2,1,0,1,1,0,0,1,1,television,0
2,0.3,4,0.15085,1,4,1,4,0.47,1,2,1,0,1,0,1,0,0,1,television,1
0,0.3,1,0.37425,0,0,1,1,0.53,1,3,1,1,1,1,0,0,0,0,car_used,0
1,0.48,3,0.33405,0,2,1,4,0.38,1,2,2,1,1,0,0,0,0,1,business,1
-1,0.24,2,0.12195,1,1,1,4,0.35,1,2,1,1,1,1,0,0,0,0,television,0
1,0.48,2,0.153,1,3,1,4,0.28,2,2,1,0,1,1,0,0,0,1,television,0
-1,0.48,1,0.38425,1,3,0,4,0.37,1,2,1,0,1,0,0,1,1,0,business,0
0,0.36,2,0.2871,2,3,1,2,0.31,2,2,1,1,1,0,0,1,0,1,business,1
-1,0.12,2,0.03635,2,1,1,3,0.33,1,1,1,1,1,0,0,0,0,1,television,0
0,0.24,4,0.09255,1,3,0,2,0.33,2,2,1,1,1,0,0,1,0,1,television,1
1,0.18,4,0.0528,1,4,0,3,0.3,2,2,1,0,1,1,0,0,0,1,car_new,0
1,0.36,4,0.141,1,1,1,4,0.27,2,2,1,0,1,0,0,1,0,1,car_new,0
-1,0.24,2,0.15105,1,2,1,2,0.24,1,1,1,0,1,1,0,0,1,1,furniture,1
-1,0.12,2,0.0584,1,2,1,3,0.27,1,1,1,0,1,1,0,0,0,1,car_new,1
-1,0.48,4,0.31655,1,4,1,4,0.46,2,2,1,1,1,0,0,0,0,1,car_used,0
-1,0.18,4,0.2651,1,4,1,4,0.36,3,3,1,1,1,0,0,0,0,1,car_new,1
-1,0.21,1,0.08235,0,2,1,2,0.4,2,1,2,0,1,0,1,0,0,1,car_new,0
0,0.48,2,0.1957,0,2,1,2,0.38,1,2,1,0,1,1,0,0,0,1,business,0
1,0.21,2,0.1988,0,3,1,3,0.35,1,2,1,1,1,0,0,1,0,1,furniture,1
-1,0.36,2,0.41145,1,2,1,2,0.26,1,2,2,0,1,0,1,0,0,1,car_used,0
1,0.12,2,0.04205,2,3,1,4,0.23,1,1,1,0,1,1,0,0,1,0,business,1
0,0.12,2,0.23375,0,1,1,4,0.2,1,2,1,0,1,0,0,1,1,0,car_used,1
-1,0.24,1,0.05965,1,0,0,4,0.29,2,0,1,0,1,0,0,0,1,0,car_new,0
-1,0.36,2,0.25895,1,3,1,2,0.29,1,2,1,0,1,0,1,0,0,1,furniture,0
1,0.24,2,0.62895,1,4,1,2,0.44,1,3,1,1,1,0,0,0,0,0,car_used,0
1,0.48,1,0.3208,1,4,1,3,0.59,1,2,1,0,1,0,0,0,1,0,business,0
-1,0.3,0,0.22915,1,2,0,2,0.32,2,2,1,0,1,1,0,0,0,1,furniture,1
-1,0.18,2,0.12365,1,0,1,1,0.25,1,0,1,0,1,0,0,1,0,1,furniture,0
1,0.14,2,0.0705,3,4,1,2,0.35,1,2,1,1,1,1,0,0,0,1,business,1
0,0.24,4,0.1934,1,4,1,2,0.41,2,3,1,1,1,0,0,1,1,0,car_used,1
-1,0.06,4,0.0936,1,0,1,4,0.36,3,3,1,1,1,0,0,0,0,1,furniture,1
2,0.09,0,0.06685,1,1,1,2,0.34,2,3,1,1,1,0,0,1,0,1,television,0
0,0.06,0,0.0602,2,2,1,1,0.35,1,2,1,0,0,0,0,0,1,1,car_new,1
-1,0.06,4,0.09785,1,3,1,4,0.31,1,2,1,0,1,0,0,1,0,0,television,1
0,0.24,2,0.13395,1,1,1,1,0.29,1,3,1,1,1,0,0,0,0,0,car_used,1
0,0.48,4,0.5795,2,2,1,4,0.24,2,1,1,0,1,0,0,1,1,0,car_used,0
-1,0.48,0,0.23025,1,4,1,4,0.24,2,2,2,0,1,0,0,0,0,1,car_used,0
-1,0.24,1,0.0679,0,4,1,3,0.4,1,3,1,1,1,0,0,1,0,1,others,0
-1,0.2,2,0.1106,0,3,1,4,0.39,1,2,1,1,1,0,0,1,0,1,furniture,1
-1,0.18,2,0.13,1,2,1,4,0.65,2,2,1,0,1,0,0,0,0,1,television,0
1,0.24,2,0.1359,1,2,1,4,0.2,1,1,1,1,1,0,1,0,1,0,car_new,0
0,0.24,2,0.1531,3,4,1,3,0.32,1,2,1,1,1,0,0,0,1,1,furniture,1
1,0.15,1,0.0632,2,2,1,2,0.25,1,2,1,0,1,0,1,0,1,1,car_new,0
0,0.24,2,0.29715,0,1,1,1,0.44,2,2,1,1,1,0,0,1,0,0,television,0
-1,0.48,0,0.35595,1,2,1,4,0.53,2,2,2,0,1,0,0,0,0,1,furniture,0
1,0.24,2,0.5664,1,2,0,3,0.29,2,3,1,1,1,0,0,1,0,1,others,0
-1,0.12,2,0.0641,1,2,1,4,0.2,1,2,1,0,1,0,0,1,1,0,furniture,0
0,0.3,4,0.3798,0,4,1,4,0.63,2,2,1,0,1,0,0,1,0,1,car_used,1
-1,0.12,4,0.17495,1,2,0,2,0.29,2,2,1,0,1,1,0,0,0,0,car_new,0
0,0.11,4,0.3614,1,2,1,4,0.39,2,1,1,0,1,0,1,0,0,1,car_new,1
1,0.54,0,0.79725,1,1,1,4,0.58,1,2,1,1,1,0,0,0,1,1,business,0
0,0.28,4,0.13715,1,4,1,2,0.29,2,2,1,0,1,0,0,1,0,1,television,1
1,0.36,2,0.13355,2,2,0,4,0.5,1,2,1,0,1,0,0,0,0,0,television,0
0,0.36,4,0.39275,1,2,1,2,0.25,2,2,1,1,1,1,0,0,0,0,car_new,0
1,0.36,2,0.6306,2,2,1,4,0.47,1,2,2,1,1,0,0,0,0,1,education,0
0,0.24,3,0.20755,2,2,1,3,0.35,2,2,1,0,1,0,1,0,0,1,furniture,1
-1,0.08,4,0.1699,1,3,1,4,0.39,2,1,1,0,0,1,0,0,0,1,car_new,1
0,0.12,4,0.06275,1,4,1,4,0.61,2,1,1,0,1,1,0,0,0,1,car_new,1
0,0.39,2,0.4294,2,4,1,2,0.45,1,3,1,1,1,0,0,1,0,1,car_used,1
-1,0.24,2,0.3284,1,2,1,2,0.21,1,1,1,0,1,0,0,1,0,1,business,1
0,0.18,3,0.0904,1,3,1,1,0.22,1,2,1,0,1,1,0,0,0,0,furniture,0
-1,0.12,4,0.07045,1,4,1,3,0.54,1,2,1,0,1,1,0,0,0,1,car_used,1
-1,0.48,2,0.19655,1,3,1,4,0.46,1,2,2,0,1,0,0,0,0,1,car_new,0
-1,0.18,2,0.1595,1,2,1,2,0.24,1,2,1,0,1,1,0,0,0,0,television,0
1,0.12,2,0.15085,1,1,1,1,0.34,1,3,1,0,1,1,0,0,1,0,furniture,1
-1,0.24,2,0.06035,1,1,1,4,0.24,1,2,1,0,1,0,1,0,1,0,car_new,0
-1,0.06,4,0.1692,1,2,1,4,0.44,1,3,1,1,1,1,0,0,1,1,furniture,0
1,0.36,2,0.1192,1,1,1,1,0.33,1,1,1,0,1,0,0,0,1,1,repairs,0
1,0.06,2,0.0295,1,1,1,3,0.26,1,1,1,0,0,1,0,0,0,1,television,1
-1,0.12,2,0.03705,2,0,1,3,0.22,1,2,1,0,1,0,1,0,0,0,domestic_appliances,0
0,0.12,4,0.0498,0,3,1,4,0.23,2,2,1,0,1,1,0,0,0,0,repairs,1
0,0.12,4,0.03985,0,4,1,3,0.33,1,1,2,0,1,0,1,0,0,0,television,0
0,0.24,2,0.07665,1,1,1,3,0.38,1,2,1,1,1,0,0,1,0,0,television,1
1,0.36,2,0.11615,1,3,1,4,0.24,1,2,1,0,1,0,0,1,1,1,television,1
1,0.18,2,0.09705,4,2,1,2,0.35,1,1,1,1,1,0,1,0,0,1,business,1
0,0.15,4,0.16715,1,2,1,2,0.28,1,2,1,1,1,0,0,0,0,1,furniture,1
0,0.12,2,0.05615,3,2,1,4,0.29,1,1,1,0,1,0,0,1,1,0,furniture,0
-1,0.12,1,0.03485,1,1,1,2,0.46,2,2,1,1,1,0,0,1,0,1,car_new,0
0,0.24,4,0.10985,0,3,1,4,0.43,2,2,2,1,1,0,0,1,0,1,car_used,1
0,0.1,2,0.03635,3,4,1,4,0.46,1,2,1,1,1,0,0,0,0,1,education,1
0,0.3,4,0.2977,1,3,0,2,0.38,1,2,1,0,1,0,0,1,0,1,television,1
1,0.15,1,0.3425,2,0,1,2,0.34,1,3,2,1,1,0,1,0,0,1,car_new,0
0,0.24,4,0.13055,1,4,0,3,0.46,2,2,1,0,1,1,0,0,0,1,television,1
-1,0.24,2,0.06905,0,2,1,2,0.35,1,2,1,0,1,0,1,0,0,0,car_new,0
1,0.09,2,0.04795,1,2,1,2,0.29,1,2,1,0,0,0,0,1,0,0,furniture,0
0,0.09,2,0.1916,0,4,1,4,0.64,1,1,1,0,1,1,0,0,0,1,education,1
1,0.3,1,0.1748,4,2,1,2,0.34,1,2,2,1,1,0,0,1,0,1,furniture,1
